seriesID,year,period,periodName,latest,value,footnotes
APU0000711311,2024,M06,June,,1.582,[{}]
APU0000711311,2024,M05,May,,1.545,[{}]
APU0000711311,2024,M04,April,,1.475,[{}]
APU0000711311,2024,M03,March,,1.516,[{}]
APU0000711311,2024,M02,February,,1.532,[{}]
APU0000711311,2024,M01,January,,1.550,[{}]
APU0000711412,2025,M06,June,true,1.882,[{}]
APU0000711412,2025,M05,May,,1.897,[{}]
APU0000711412,2025,M04,April,,1.927,[{}]
APU0000711412,2025,M03,March,,1.983,[{}]
APU0000711412,2025,M02,February,,2.056,[{}]
APU0000711412,2025,M01,January,,2.080,[{}]
APU0000711412,2024,M12,December,,2.121,[{}]
APU0000711412,2024,M11,November,,2.116,[{}]
APU0000711412,2024,M10,October,,2.056,[{}]
APU0000711412,2024,M09,September,,1.999,[{}]
APU0000711412,2024,M08,August,,1.959,[{}]
APU0000711412,2024,M07,July,,1.989,[{}]
APU0000711412,2024,M06,June,,1.977,[{}]
APU0000711412,2024,M05,May,,1.923,[{}]
APU0000711412,2024,M04,April,,1.982,[{}]
APU0000711412,2024,M03,March,,2.034,[{}]
APU0000711412,2024,M02,February,,2.036,[{}]
APU0000711412,2024,M01,January,,2.087,[{}]
APU0000710411,2025,M06,June,true,6.493,[{}]
APU0000710411,2025,M05,May,,6.466,[{}]
APU0000710411,2025,M04,April,,6.229,[{}]
APU0000710411,2025,M03,March,,6.328,[{}]
APU0000710411,2025,M02,February,,6.255,[{}]
APU0000710411,2025,M01,January,,6.459,[{}]
APU0000710411,2024,M12,December,,6.270,[{}]
APU0000710411,2024,M11,November,,6.447,[{}]
APU0000710411,2024,M10,October,,6.295,[{}]
APU0000710411,2024,M09,September,,6.338,[{}]
APU0000710411,2024,M08,August,,6.357,[{}]
APU0000710411,2024,M07,July,,6.030,[{}]
APU0000710411,2024,M06,June,,6.137,[{}]
APU0000710411,2024,M05,May,,6.000,[{}]
APU0000710411,2024,M04,April,,6.196,[{}]
APU0000710411,2024,M03,March,,5.733,[{}]
APU0000710411,2024,M02,February,,5.885,[{}]
APU0000710411,2024,M01,January,,5.903,[{}]
APU0000FC3101,2025,M06,June,true,11.491,[{}]
APU0000FC3101,2025,M05,May,,11.032,[{}]
APU0000FC3101,2025,M04,April,,11.120,[{}]
APU0000FC3101,2025,M03,March,,10.980,[{}]
APU0000FC3101,2025,M02,February,,10.868,[{}]
APU0000FC3101,2025,M01,January,,10.905,[{}]
APU0000FC3101,2024,M12,December,,10.626,[{}]
APU0000FC3101,2024,M11,November,,10.673,[{}]
APU0000FC3101,2024,M10,October,,10.565,[{}]
APU0000FC3101,2024,M09,September,,10.882,[{}]
APU0000FC3101,2024,M08,August,,10.875,[{}]
APU0000FC3101,2024,M07,July,,10.856,[{}]
APU0000FC3101,2024,M06,June,,10.635,[{}]
APU0000FC3101,2024,M05,May,,10.734,[{}]
APU0000FC3101,2024,M04,April,,10.745,[{}]
APU0000FC3101,2024,M03,March,,10.594,[{}]
APU0000FC3101,2024,M02,February,,10.530,[{}]
APU0000FC3101,2024,M01,January,,10.686,[{}]
APU0000720111,2025,M06,June,true,1.814,[{}]
APU0000720111,2025,M05,May,,1.834,[{}]
APU0000720111,2025,M04,April,,1.827,[{}]
APU0000720111,2025,M03,March,,1.821,[{}]
APU0000720111,2025,M02,February,,1.819,[{}]
APU0000720111,2025,M01,January,,1.813,[{}]
APU0000720111,2024,M12,December,,1.812,[{}]
APU0000720111,2024,M11,November,,1.811,[{}]
APU0000720111,2024,M10,October,,1.745,[{}]
APU0000720111,2024,M09,September,,1.795,[{}]
APU0000720111,2024,M08,August,,1.792,[{}]
APU0000720111,2024,M07,July,,1.778,[{}]
APU0000720111,2024,M06,June,,1.772,[{}]
APU0000720111,2024,M05,May,,1.775,[{}]
APU0000720111,2024,M04,April,,1.776,[{}]
APU0000720111,2024,M03,March,,1.767,[{}]
APU0000720111,2024,M02,February,,1.772,[{}]
APU0000720111,2024,M01,January,,1.762,[{}]
APU0000706111,2025,M06,June,true,2.086,[{}]
APU0000706111,2025,M05,May,,2.061,[{}]
APU0000706111,2025,M04,April,,2.059,[{}]
APU0000706111,2025,M03,March,,2.064,[{}]
APU0000706111,2025,M02,February,,2.051,[{}]
APU0000706111,2025,M01,January,,2.061,[{}]
APU0000706111,2024,M12,December,,2.061,[{}]
APU0000706111,2024,M11,November,,2.076,[{}]
APU0000706111,2024,M10,October,,1.987,[{}]
APU0000706111,2024,M09,September,,1.979,[{}]
APU0000706111,2024,M08,August,,1.988,[{}]
APU0000706111,2024,M07,July,,1.988,[{}]
APU0000706111,2024,M06,June,,2.007,[{}]
APU0000706111,2024,M05,May,,2.013,[{}]
APU0000706111,2024,M04,April,,1.953,[{}]
APU0000706111,2024,M03,March,,1.991,[{}]
APU0000706111,2024,M02,February,,1.951,[{}]
APU0000706111,2024,M01,January,,1.987,[{}]
APU0000701312,2025,M06,June,true,1.061,[{}]
APU0000701312,2025,M05,May,,1.067,[{}]
APU0000701312,2025,M04,April,,1.031,[{}]
APU0000701312,2025,M03,March,,1.038,[{}]
APU0000701312,2025,M02,February,,1.030,[{}]
APU0000701312,2025,M01,January,,1.008,[{}]
APU0000701312,2024,M12,December,,1.032,[{}]
APU0000701312,2024,M11,November,,1.061,[{}]
APU0000701312,2024,M10,October,,1.056,[{}]
APU0000701312,2024,M09,September,,1.078,[{}]
APU0000701312,2024,M08,August,,1.085,[{}]
APU0000701312,2024,M07,July,,1.039,[{}]
APU0000701312,2024,M06,June,,1.018,[{}]
APU0000701312,2024,M05,May,,1.002,[{}]
APU0000701312,2024,M04,April,,1.025,[{}]
APU0000701312,2024,M03,March,,1.014,[{}]
APU0000701312,2024,M02,February,,1.001,[{}]
APU0000701312,2024,M01,January,,1.000,[{}]
APU0000704111,2025,M06,June,true,7.098,[{}]
APU0000704111,2025,M05,May,,6.985,[{}]
APU0000704111,2025,M04,April,,7.009,[{}]
APU0000704111,2025,M03,March,,6.978,[{}]
APU0000704111,2025,M02,February,,6.798,[{}]
APU0000704111,2025,M01,January,,7.044,[{}]
APU0000704111,2024,M12,December,,6.915,[{}]
APU0000704111,2024,M11,November,,6.843,[{}]
APU0000704111,2024,M10,October,,6.869,[{}]
APU0000704111,2024,M09,September,,6.955,[{}]
APU0000704111,2024,M08,August,,6.785,[{}]
APU0000704111,2024,M07,July,,6.883,[{}]
APU0000704111,2024,M06,June,,6.827,[{}]
APU0000704111,2024,M05,May,,6.818,[{}]
APU0000704111,2024,M04,April,,6.637,[{}]
APU0000704111,2024,M03,March,,6.609,[{}]
APU0000704111,2024,M02,February,,6.560,[{}]
APU0000704111,2024,M01,January,,6.614,[{}]
APU0000708111,2025,M06,June,true,3.775,[{}]
APU0000708111,2025,M05,May,,4.548,[{}]
APU0000708111,2025,M04,April,,5.122,[{}]
APU0000708111,2025,M03,March,,6.227,[{}]
APU0000708111,2025,M02,February,,5.897,[{}]
APU0000708111,2025,M01,January,,4.953,[{}]
APU0000708111,2024,M12,December,,4.146,[{}]
APU0000708111,2024,M11,November,,3.649,[{}]
APU0000708111,2024,M10,October,,3.370,[{}]
APU0000708111,2024,M09,September,,3.821,[{}]
APU0000708111,2024,M08,August,,3.204,[{}]
APU0000708111,2024,M07,July,,3.080,[{}]
APU0000708111,2024,M06,June,,2.715,[{}]
APU0000708111,2024,M05,May,,2.699,[{}]
APU0000708111,2024,M04,April,,2.864,[{}]
APU0000708111,2024,M03,March,,2.992,[{}]
APU0000708111,2024,M02,February,,2.996,[{}]
APU0000708111,2024,M01,January,,2.522,[{}]
APU0000704312,2025,M06,June,true,5.379,[{}]
APU0000704312,2025,M05,May,,5.453,[{}]
APU0000704312,2025,M04,April,,5.473,[{}]
APU0000704312,2025,M03,March,,5.603,[{}]
APU0000704312,2025,M02,February,,5.520,[{}]
APU0000704312,2025,M01,January,,5.476,[{}]
APU0000704312,2024,M12,December,,5.458,[{}]
APU0000704312,2024,M11,November,,5.630,[{}]
APU0000704312,2024,M10,October,,5.670,[{}]
APU0000704312,2024,M09,September,,5.630,[{}]
APU0000704312,2024,M08,August,,5.633,[{}]
APU0000704312,2024,M07,July,,5.727,[{}]
APU0000704312,2024,M06,June,,5.567,[{}]
APU0000704312,2024,M05,May,,5.668,[{}]
APU0000704312,2024,M04,April,,5.594,[{}]
APU0000704312,2024,M03,March,,5.572,[{}]
APU0000704312,2024,M02,February,,5.666,[{}]
APU0000704312,2024,M01,January,,5.532,[{}]
APU0000703112,2025,M06,June,true,6.120,[{}]
APU0000703112,2025,M05,May,,5.981,[{}]
APU0000703112,2025,M04,April,,5.801,[{}]
APU0000703112,2025,M03,March,,5.790,[{}]
APU0000703112,2025,M02,February,,5.625,[{}]
APU0000703112,2025,M01,January,,5.545,[{}]
APU0000703112,2024,M12,December,,5.605,[{}]
APU0000703112,2024,M11,November,,5.628,[{}]
APU0000703112,2024,M10,October,,5.588,[{}]
APU0000703112,2024,M09,September,,5.670,[{}]
APU0000703112,2024,M08,August,,5.577,[{}]
APU0000703112,2024,M07,July,,5.497,[{}]
APU0000703112,2024,M06,June,,5.472,[{}]
APU0000703112,2024,M05,May,,5.148,[{}]
APU0000703112,2024,M04,April,,5.236,[{}]
APU0000703112,2024,M03,March,,5.132,[{}]
APU0000703112,2024,M02,February,,5.132,[{}]
APU0000703112,2024,M01,January,,5.030,[{}]
APU0000713111,2025,M06,June,true,4.493,[{}]
APU0000713111,2025,M05,May,,4.429,[{}]
APU0000713111,2025,M04,April,,4.440,[{}]
APU0000713111,2025,M03,March,,4.482,[{}]
APU0000713111,2025,M02,February,,4.492,[{}]
APU0000713111,2025,M01,January,,4.480,[{}]
APU0000713111,2024,M12,December,,4.289,[{}]
APU0000713111,2024,M11,November,,4.306,[{}]
APU0000713111,2024,M10,October,,4.247,[{}]
APU0000713111,2024,M09,September,,4.227,[{}]
APU0000713111,2024,M08,August,,4.273,[{}]
APU0000713111,2024,M07,July,,4.248,[{}]
APU0000713111,2024,M06,June,,4.258,[{}]
APU0000713111,2024,M05,May,,4.194,[{}]
APU0000713111,2024,M04,April,,4.278,[{}]
APU0000713111,2024,M03,March,,4.259,[{}]
APU0000713111,2024,M02,February,,4.214,[{}]
APU0000713111,2024,M01,January,,4.111,[{}]
APU0000712112,2025,M06,June,true,0.981,[{}]
APU0000712112,2025,M05,May,,0.958,[{}]
APU0000712112,2025,M04,April,,0.967,[{}]
APU0000712112,2025,M03,March,,0.950,[{}]
APU0000712112,2025,M02,February,,0.957,[{}]
APU0000712112,2025,M01,January,,0.973,[{}]
APU0000712112,2024,M12,December,,0.949,[{}]
APU0000712112,2024,M11,November,,0.956,[{}]
APU0000712112,2024,M10,October,,0.998,[{}]
APU0000712112,2024,M09,September,,1.009,[{}]
APU0000712112,2024,M08,August,,1.006,[{}]
APU0000712112,2024,M07,July,,1.017,[{}]
APU0000712112,2024,M06,June,,0.993,[{}]
APU0000712112,2024,M05,May,,0.964,[{}]
APU0000712112,2024,M04,April,,0.971,[{}]
APU0000712112,2024,M03,March,,0.972,[{}]
APU0000712112,2024,M02,February,,0.971,[{}]
APU0000712112,2024,M01,January,,0.978,[{}]
APU0000FC1101,2025,M06,June,true,6.342,[{}]
APU0000FC1101,2025,M05,May,,6.245,[{}]
APU0000FC1101,2025,M04,April,,6.142,[{}]
APU0000FC1101,2025,M03,March,,6.137,[{}]
APU0000FC1101,2025,M02,February,,5.961,[{}]
APU0000FC1101,2025,M01,January,,5.820,[{}]
APU0000FC1101,2024,M12,December,,5.863,[{}]
APU0000FC1101,2024,M11,November,,5.874,[{}]
APU0000FC1101,2024,M10,October,,5.887,[{}]
APU0000FC1101,2024,M09,September,,5.917,[{}]
APU0000FC1101,2024,M08,August,,5.867,[{}]
APU0000FC1101,2024,M07,July,,5.799,[{}]
APU0000FC1101,2024,M06,June,,5.712,[{}]
APU0000FC1101,2024,M05,May,,5.603,[{}]
APU0000FC1101,2024,M04,April,,5.561,[{}]
APU0000FC1101,2024,M03,March,,5.522,[{}]
APU0000FC1101,2024,M02,February,,5.479,[{}]
APU0000FC1101,2024,M01,January,,5.475,[{}]
APU0000714221,2025,M06,June,true,1.414,[{}]
APU0000714221,2025,M05,May,,1.446,[{}]
APU0000714221,2025,M04,April,,1.331,[{}]
APU0000714221,2025,M03,March,,1.341,[{}]
APU0000714221,2025,M02,February,,1.351,[{}]
APU0000714221,2025,M01,January,,1.330,[{}]
APU0000714221,2024,M12,December,,1.304,[{}]
APU0000714221,2024,M11,November,,1.294,[{}]
APU0000714221,2024,M10,October,,1.330,[{}]
APU0000714221,2024,M09,September,,1.350,[{}]
APU0000714221,2024,M08,August,,1.311,[{}]
APU0000714221,2024,M07,July,,1.366,[{}]
APU0000714221,2024,M06,June,,1.351,[{}]
APU0000714221,2024,M05,May,,1.334,[{}]
APU0000714221,2024,M04,April,,1.402,[{}]
APU0000714221,2024,M03,March,,1.396,[{}]
APU0000714221,2024,M02,February,,1.392,[{}]
APU0000714221,2024,M01,January,,1.379,[{}]
APU0000715211,2025,M06,June,true,1.054,[{}]
APU0000715211,2025,M05,May,,1.054,[{}]
APU0000715211,2025,M04,April,,1.021,[{}]
APU0000715211,2025,M03,March,,1.014,[{}]
APU0000715211,2025,M02,February,,1.012,[{}]
APU0000715211,2025,M01,January,,1.011,[{}]
APU0000715211,2024,M12,December,,0.992,[{}]
APU0000715211,2024,M11,November,,1.000,[{}]
APU0000715211,2024,M10,October,,1.003,[{}]
APU0000715211,2024,M09,September,,1.007,[{}]
APU0000715211,2024,M08,August,,1.004,[{}]
APU0000715211,2024,M07,July,,1.004,[{}]
APU0000715211,2024,M06,June,,1.004,[{}]
APU0000715211,2024,M05,May,,1.001,[{}]
APU0000715211,2024,M04,April,,1.006,[{}]
APU0000715211,2024,M03,March,,0.984,[{}]
APU0000715211,2024,M02,February,,0.984,[{}]
APU0000715211,2024,M01,January,,0.975,[{}]
APU0000720311,2025,M06,June,true,13.957,[{}]
APU0000720311,2025,M05,May,,13.745,[{}]
APU0000720311,2025,M04,April,,13.779,[{}]
APU0000720311,2025,M03,March,,14.000,[{}]
APU0000720311,2025,M02,February,,14.087,[{}]
APU0000720311,2025,M01,January,,14.035,[{}]
APU0000720311,2024,M12,December,,13.985,[{}]
APU0000720311,2024,M11,November,,13.780,[{}]
APU0000720311,2024,M10,October,,13.768,[{}]
APU0000720311,2024,M09,September,,13.957,[{}]
APU0000720311,2024,M08,August,,13.958,[{}]
APU0000720311,2024,M07,July,,13.918,[{}]
APU0000720311,2024,M06,June,,13.876,[{}]
APU0000720311,2024,M05,May,,13.861,[{}]
APU0000720311,2024,M04,April,,13.662,[{}]
APU0000720311,2024,M03,March,,13.308,[{}]
APU0000720311,2024,M02,February,,13.391,[{}]
APU0000720311,2024,M01,January,,13.345,[{}]
APU0000702212,2025,M06,June,true,2.656,[{}]
APU0000702212,2025,M05,May,,2.602,[{}]
APU0000702212,2025,M04,April,,2.751,[{}]
APU0000702212,2025,M03,March,,2.719,[{}]
APU0000702212,2025,M02,February,,2.759,[{}]
APU0000702212,2025,M01,January,,2.760,[{}]
APU0000702212,2024,M12,December,,2.796,[{}]
APU0000702212,2024,M11,November,,2.724,[{}]
APU0000702212,2024,M10,October,,2.833,[{}]
APU0000702212,2024,M09,September,,2.748,[{}]
APU0000702212,2024,M08,August,,2.674,[{}]
APU0000702212,2024,M07,July,,2.693,[{}]
APU0000702212,2024,M06,June,,2.775,[{}]
APU0000702212,2024,M05,May,,2.749,[{}]
APU0000702212,2024,M04,April,,2.625,[{}]
APU0000702212,2024,M03,March,,2.585,[{}]
APU0000702212,2024,M02,February,,2.604,[{}]
APU0000702212,2024,M01,January,,2.631,[{}]
APU0000703511,2025,M06,June,true,8.457,[{}]
APU0000703511,2025,M05,May,,8.401,[{}]
APU0000703511,2025,M04,April,,8.627,[{}]
APU0000703511,2025,M03,March,,8.554,[{}]
APU0000703511,2025,M02,February,,8.485,[{}]
APU0000703511,2025,M01,January,,8.280,[{}]
APU0000703511,2024,M12,December,,8.136,[{}]
APU0000703511,2024,M11,November,,8.159,[{}]
APU0000703511,2024,M10,October,,8.154,[{}]
APU0000703511,2024,M09,September,,8.148,[{}]
APU0000703511,2024,M08,August,,8.226,[{}]
APU0000703511,2024,M07,July,,8.059,[{}]
APU0000703511,2024,M06,June,,7.927,[{}]
APU0000703511,2024,M05,May,,8.247,[{}]
APU0000703511,2024,M04,April,,8.110,[{}]
APU0000703511,2024,M03,March,,8.031,[{}]
APU0000703511,2024,M02,February,,7.883,[{}]
APU0000703511,2024,M01,January,,8.106,[{}]
