year,period,periodName,value,footnotes,date,CPI
2021,M01,January,262.687,[{}],2021-01-01,1.3738437137002402
2021,M02,February,263.579,[{}],2021-02-01,1.6698167791706853
2021,M03,March,264.961,[{}],2021-03-01,2.6678187820641908
2021,M04,April,266.614,[{}],2021-04-01,4.133077115360573
2021,M05,May,268.383,[{}],2021-05-01,4.918257089467626
2021,M06,June,270.654,[{}],2021-06-01,5.295632620349999
2021,M07,July,271.903,[{}],2021-07-01,5.245169381309234
2021,M08,August,272.676,[{}],2021-08-01,5.152015301793966
2021,M09,September,273.91,[{}],2021-09-01,5.351215590949132
2021,M10,October,276.55,[{}],2021-10-01,6.235042390298062
2021,M11,November,278.919,[{}],2021-11-01,6.901970403700863
2021,M12,December,280.845,[{}],2021-12-01,7.174340285065539
2022,M01,January,282.543,[{}],2022-01-01,7.558805726967832
2022,M02,February,284.5,[{}],2022-02-01,7.937278766517819
2022,M03,March,287.674,[{}],2022-03-01,8.572204966013853
2022,M04,April,288.561,[{}],2022-04-01,8.231750770777225
2022,M05,May,291.298,[{}],2022-05-01,8.538171195642065
2022,M06,June,294.957,[{}],2022-06-01,8.979361103105798
2022,M07,July,294.913,[{}],2022-07-01,8.462576727730099
2022,M08,August,295.097,[{}],2022-08-01,8.222579178218826
2022,M09,September,296.349,[{}],2022-09-01,8.192106896425821
2022,M10,October,298.007,[{}],2022-10-01,7.758813957693
2022,M11,November,298.786,[{}],2022-11-01,7.122856456533988
2022,M12,December,298.832,[{}],2022-12-01,6.404600402357152
2023,M01,January,300.42,[{}],2023-01-01,6.327178517960097
2023,M02,February,301.45,[{}],2023-02-01,5.957820738137087
2023,M03,March,301.821,[{}],2023-03-01,4.917719362889961
2023,M04,April,302.845,[{}],2023-04-01,4.950079879124369
2023,M05,May,303.334,[{}],2023-05-01,4.131851231385042
2023,M06,June,304.014,[{}],2023-06-01,3.070617072997095
2023,M07,July,304.609,[{}],2023-07-01,3.287749268428297
2023,M08,August,306.082,[{}],2023-08-01,3.722504803505289
2023,M09,September,307.276,[{}],2023-09-01,3.687206638119256
2023,M10,October,307.696,[{}],2023-10-01,3.2512659098611785
2023,M11,November,308.148,[{}],2023-11-01,3.1333462745911866
2023,M12,December,308.741,[{}],2023-12-01,3.3159099427102934
2024,M01,January,309.698,[{}],2024-01-01,3.0883429864855705
2024,M02,February,310.967,[{}],2024-02-01,3.157074141648697
2024,M03,March,312.345,[{}],2024-03-01,3.4868349120836584
2024,M04,April,313.023,[{}],2024-04-01,3.3607951262196734
2024,M05,May,313.175,[{}],2024-05-01,3.244278584003113
2024,M06,June,313.044,[{}],2024-06-01,2.9702579486470926
2024,M07,July,313.569,[{}],2024-07-01,2.9414757935583014
2024,M08,August,314.062,[{}],2024-08-01,2.607144490692037
2024,M09,September,314.732,[{}],2024-09-01,2.4264830315416708
2024,M10,October,315.631,[{}],2024-10-01,2.578844053871343
2024,M11,November,316.528,[{}],2024-11-01,2.719472461284833
2024,M12,December,317.604,[{}],2024-12-01,2.870690967509981
2025,M01,January,318.961,[{}],2025-01-01,2.9909783078999608
2025,M02,February,319.679,[{}],2025-02-01,2.8015834477613355
2025,M03,March,319.785,[{}],2025-03-01,2.381981462805549
2025,M04,April,320.302,[{}],2025-04-01,2.32538823025783
2025,M05,May,320.62,[{}],2025-05-01,2.3772651073680873
2025,M06,June,321.435,[{}],2025-06-01,2.680453865910226
2025,M07,July,322.169,[{}],2025-07-01,2.742618052167134
2025,M08,August,323.291,[{}],2025-08-01,2.9385917430316155
2025,M09,September,324.245,[{}],2025-09-01,3.0225715847133294
2025,M10,October,,"[{'code': 'X', 'text': 'Data unavailable due to the 2025 lapse in appropriations'}]",2025-10-01,
2025,M11,November,325.063,[{}],2025-11-01,2.6964439164939513
2025,M12,December,326.031,[{}],2025-12-01,2.653304114557753
